Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2022-01-11T07:00:00-08:00 Los_Angeles,24.667166352272034kW
2022-01-11T08:00:00-08:00 Los_Angeles,24.711833000183105kW
2022-01-11T09:00:00-08:00 Los_Angeles,24.421499729156494kW
2022-01-11T10:00:00-08:00 Los_Angeles,25.6163330078125kW
2022-01-11T11:00:00-08:00 Los_Angeles,28.00600004196167kW
2022-01-11T12:00:00-08:00 Los_Angeles,30.295166492462158kW
2022-01-11T13:00:00-08:00 Los_Angeles,32.740665435791016kW
2022-01-11T14:00:00-08:00 Los_Angeles,34.84000015258789kW
2022-01-11T15:00:00-08:00 Los_Angeles,37.12916660308838kW
2022-01-11T16:00:00-08:00 Los_Angeles,39.29550075531006kW
2022-01-11T17:00:00-08:00 Los_Angeles,40.36750030517578kW
2022-01-11T18:00:00-08:00 Los_Angeles,40.22233295440674kW
2022-01-11T19:00:00-08:00 Los_Angeles,39.55233383178711kW
2022-01-11T20:00:00-08:00 Los_Angeles,39.150333404541016kW
2022-01-11T21:00:00-08:00 Los_Angeles,37.88849925994873kW
2022-01-11T22:00:00-08:00 Los_Angeles,23.706832885742188kW
2022-01-11T23:00:00-08:00 Los_Angeles,0kW
2022-01-12T00:00:00-08:00 Los_Angeles,0kW
2022-01-12T01:00:00-08:00 Los_Angeles,0kW
2022-01-12T02:00:00-08:00 Los_Angeles,0kW
2022-01-12T03:00:00-08:00 Los_Angeles,0kW
2022-01-12T04:00:00-08:00 Los_Angeles,0kW
2022-01-12T05:00:00-08:00 Los_Angeles,1.965333342552185kW
2022-01-12T06:00:00-08:00 Los_Angeles,0kW
2022-01-12T07:00:00-08:00 Los_Angeles,31.702166318893433kW
2022-01-12T08:00:00-08:00 Los_Angeles,31.244332790374756kW
2022-01-12T09:00:00-08:00 Los_Angeles,29.725666999816895kW
2022-01-12T10:00:00-08:00 Los_Angeles,28.586666584014893kW
2022-01-12T11:00:00-08:00 Los_Angeles,31.166166305541992kW
2022-01-12T12:00:00-08:00 Los_Angeles,32.95283222198486kW
2022-01-12T13:00:00-08:00 Los_Angeles,34.87349891662598kW
2022-01-12T14:00:00-08:00 Los_Angeles,37.16266632080078kW
2022-01-12T15:00:00-08:00 Los_Angeles,40.132999420166016kW
2022-01-12T16:00:00-08:00 Los_Angeles,41.61816692352295kW
2022-01-12T17:00:00-08:00 Los_Angeles,41.707499504089355kW
2022-01-12T18:00:00-08:00 Los_Angeles,41.59583282470703kW
2022-01-12T19:00:00-08:00 Los_Angeles,40.80299949645996kW
2022-01-12T20:00:00-08:00 Los_Angeles,40.177666664123535kW
2022-01-12T21:00:00-08:00 Los_Angeles,39.76450061798096kW
2022-01-12T22:00:00-08:00 Los_Angeles,25.058000087738037kW
2022-01-12T23:00:00-08:00 Los_Angeles,0kW
2022-01-13T00:00:00-08:00 Los_Angeles,0kW
2022-01-13T01:00:00-08:00 Los_Angeles,0kW
2022-01-13T02:00:00-08:00 Los_Angeles,0kW
2022-01-13T03:00:00-08:00 Los_Angeles,0kW
2022-01-13T04:00:00-08:00 Los_Angeles,1.9429999589920044kW
